t,hr,eda,spo2,accel,ambient_temp,ambient_noise,device_id,Battery_level
0,84.96714153,0.513965167,92,1,33.08803226,57.9,1,100
0.25,78.61735699,0.506502463,90,2,33.14044527,64.3,1,99.975
0.5,86.47688538,0.581328041,97,2,34.52490605,34.7,1,99.95
0.75,95.23029856,0.415614612,100,1,33.50034141,47.8,1,99.925
1,77.65846625,0.32563274,89,1,33.891065,38.6,1,99.9
1.25,77.65863043,0.515682302,92,1,33.10455031,74.6,1,99.875
1.5,95.79212816,0.528123049,94,0,33.11007353,32.3,1,99.85
1.75,87.67434729,0.648959941,95,0,34.0409924,73.9,1,99.825
2,75.30525614,0.372963795,89,3,32.82521189,33.7,1,99.8
2.25,85.42560044,0.615469377,93,1,33.29239312,62.7,1,99.775
2.5,75.36582307,0.736741436,98,1,33.51701371,44.8,1,99.75
2.75,75.34270246,0.462223511,99,2,33.5556863,45.1,1,99.725
3,82.41962272,0.370905778,87,0,33.41045336,45.5,1,99.7
3.25,60.86719755,0.459302563,99,1,33.69790989,71.3,1,99.675
3.5,62.75082167,0.501400497,85,0,33.84642788,51.7,1,99.65
3.75,74.37712471,0.556378788,89,0,33.86731877,46.8,1,99.625
4,69.8716888,0.440860527,98,2,33.0070981,39,1,99.6
4.25,83.14247333,0.655519853,90,0,33.35792245,42.8,1,99.575
4.5,70.91975924,0.388546768,91,1,34.09738143,38.7,1,99.55
4.75,65.87696299,0.326079485,93,0,33.94732359,38.4,1,99.525
5,94.65648769,0.610671042,94,0,32.81357027,33.4,1,99.5
5.25,77.742237,0.272537897,95,4,33.67573995,79.4,1,99.475
5.5,80.67528205,0.479587023,93,0,32.51088738,63.2,1,99.45
5.75,65.75251814,0.811768113,89,0,33.52346745,54.4,1,99.425
6,74.55617275,0.498795645,95,0,34.44888351,49.2,1,99.4
6.25,81.1092259,0.387923235,90,3,33.02605364,45.7,1,99.375
6.5,68.49006423,0.494260254,90,2,33.08283848,65.3,1,99.35
6.75,83.75698018,0.494919921,86,1,33.88201489,33.7,1,99.325
7,73.9936131,0.516064994,86,0,32.72859924,49.5,1,99.3
7.25,77.0830625,0.566226298,96,2,33.18362249,66.2,1,99.275
7.5,73.98293388,0.396088883,96,0,33.79822057,69.2,1,99.25
7.75,98.52278185,0.668754806,97,3,33.18285708,70.6,1,99.225
8,79.86502775,0.524511428,97,0,33.38201501,46.1,1,99.2
8.25,69.42289071,0.572679405,96,0,33.87209286,35.5,1,99.175
8.5,88.22544912,0.43718506,98,0,33.71077304,55.5,1,99.15
8.75,67.7915635,0.628638214,91,0,33.6334092,66.6,1,99.125
9,82.08863595,0.474294759,85,0,33.33043886,70.6,1,99.1
9.25,60.40329876,0.527755251,95,1,33.68503056,73.7,1,99.075
9.5,66.71813951,0.406689392,87,1,33.43813366,47.7,1,99.05
9.75,81.96861236,0.400306837,99,1,33.7289028,58,1,99.025
10,87.3846658,0.568820531,96,1,33.25153399,56.5,1,99
10.25,81.71368281,0.455639317,92,3,33.40871551,58.3,1,98.975
10.5,78.84351718,0.414617691,88,2,33.0050211,32.1,1,98.95
10.75,76.98896304,0.435681666,93,2,33.48249619,58.7,1,98.925
11,65.2147801,0.569895307,97,3,33.09449957,77.4,1,98.9
11.25,72.80155792,0.437096214,90,2,32.94297677,67,1,98.875
11.5,75.39361229,0.488234507,99,1,33.62933057,74.8,1,98.85
11.75,90.57122226,0.501502775,97,0,33.60636989,31.6,1,98.825
12,83.4361829,0.308265111,99,0,33.89143687,57.2,1,98.8
12.25,62.36959845,0.352887359,96,0,33.28443722,46.7,1,98.775
12.5,83.24083969,0.533627789,96,0,33.70402642,65.8,1,98.75
12.75,76.1491772,0.426297064,86,1,33.77539879,66.6,1,98.725
13,73.23078,0.605672491,93,2,33.7223869,73.9,1,98.7
13.25,86.11676289,0.59668071,92,0,33.08717316,49.2,1,98.675
13.5,90.30999522,0.571916867,97,3,33.57468174,34.1,1,98.65
13.75,89.31280119,0.681977179,92,5,33.68207015,77.2,1,98.625
14,71.60782477,0.491691067,95,2,33.50358923,75.7,1,98.6
14.25,76.90787624,0.564888193,87,0,32.45676117,38.8,1,98.575
14.5,83.31263431,0.441559902,87,1,33.58024481,77.2,1,98.55
14.75,89.75545127,0.745236991,88,0,34.60626552,44,1,98.525
15,75.20825762,0.698363365,89,0,33.31998037,53.6,1,98.5
15.25,78.14341023,0.501188043,85,1,33.13596145,30.5,1,98.475
15.5,68.93665026,0.538658623,99,0,33.68667428,33.7,1,98.45
15.75,68.03793376,0.63592976,88,0,33.65618911,35.9,1,98.425
16,88.12525822,0.48528605,87,1,34.09636758,60.9,1,98.4
16.25,93.56240029,0.434337593,86,0,32.87106592,60.9,1,98.375
16.5,79.27989878,0.587398975,86,1,33.86569013,66.9,1,98.35
16.75,90.03532898,0.507843925,94,0,33.79521103,35.4,1,98.325
17,83.61636025,0.518299445,91,0,33.42892673,38.3,1,98.3
17.25,73.54880245,0.416572866,91,0,33.66934366,59.2,1,98.275
17.5,83.61395606,0.328232785,91,2,34.01472874,43.5,1,98.25
17.75,95.38036566,0.523614241,95,0,33.93615769,34.4,1,98.225
18,79.64173961,0.590496204,90,1,32.92849034,63.5,1,98.2
18.25,95.64643656,0.477419325,86,0,33.91007909,30,1,98.175
18.5,53.80254896,0.643642952,90,1,33.4676557,56,1,98.15
18.75,88.21902504,0.429608367,92,0,33.53643705,63,1,98.125
19,80.87047068,0.394529555,89,2,33.5365985,42.1,1,98.1
19.25,77.0099265,0.493276969,91,3,33.42487851,33.7,1,98.075
19.5,80.91760777,0.491740742,96,1,34.09585375,61.1,1,98.05
19.75,60.12431085,0.576996873,85,1,33.45814102,65.4,1,98.025
20,77.80328112,0.422503718,93,0,32.94022694,38.3,1,98
20.25,83.57112572,0.636809424,90,1,33.30323507,61.2,1,97.975
20.5,94.77894045,0.696691696,86,1,33.58934736,41.3,1,97.95
20.75,74.81729782,0.496085597,92,1,34.11460739,38.7,1,97.925
21,71.91506397,0.624971042,91,0,33.80154734,44.3,1,97.9
21.25,74.98242956,0.394350293,89,2,33.07473236,32.5,1,97.875
21.5,89.15402118,0.607522154,98,0,34.74259496,63.9,1,97.85
21.75,83.2875111,0.604727641,93,1,33.63238766,36.3,1,97.825
22,74.70239796,0.586343728,94,2,34.13769537,35.1,1,97.8
22.25,85.13267433,0.498443691,90,0,33.42414278,79.2,1,97.775
22.5,80.97077549,0.204575106,100,0,33.76667962,65.3,1,97.75
22.75,89.68644991,0.435827286,87,0,33.91973425,59.5,1,97.725
23,72.97946906,0.437408398,91,3,34.10909736,30.5,1,97.7
23.25,76.72337853,0.402174506,100,0,34.02868415,43.5,1,97.675
23.5,76.07891847,0.5122243,96,1,33.9360985,64,1,97.65
23.75,65.36485052,0.458103655,99,1,33.34245663,41.9,1,97.625
24,82.96120277,0.417538799,95,2,33.21412698,37.9,1,97.6
24.25,82.61055272,0.394119985,93,0,33.66630376,42.2,1,97.575
24.5,80.05113457,0.428448701,89,1,33.96656404,33.6,1,97.55
24.75,77.65412867,0.612149921,99,2,33.38863965,52,1,97.525
25,65.84629258,0.433897495,87,1,34.03258598,35.9,1,97.5
25.25,75.79354677,0.448506129,95,0,34.22630837,43.5,1,97.475
25.5,76.57285483,0.454330238,86,0,33.04183954,40.8,1,97.45
25.75,71.97722731,0.533899351,87,2,33.08153965,48.8,1,97.425
26,78.38714288,0.545624949,91,0,33.42981247,31.4,1,97.4
26.25,84.04050857,0.195534346,93,3,33.65380633,75.7,1,97.375
26.5,98.86185901,0.602163521,100,2,33.23771649,65.3,1,97.35
26.75,81.74577813,0.643636803,89,1,34.17610134,61.3,1,97.325
27,82.57550391,0.394981346,98,1,33.71203343,30.7,1,97.3
27.25,79.25554084,0.402770176,90,0,33.51972352,45.2,1,97.275
27.5,60.81228785,0.454974661,97,3,32.78204524,60.3,1,97.25
27.75,79.73486125,0.424399598,92,1,32.84209209,46.8,1,97.225
28,80.6023021,0.522392687,94,0,33.64050463,73.5,1,97.2
28.25,104.6324211,0.305347471,92,1,32.43370219,70.1,1,97.175
28.5,78.07639035,0.388207239,91,1,34.0063187,62.4,1,97.15
28.75,83.01547342,0.65391972,87,2,33.42092308,44.9,1,97.125
29,79.6528823,0.407178003,97,4,35.12154648,75.3,1,97.1
29.25,68.31321962,0.624342828,88,0,34.65395813,51.7,1,97.075
29.5,91.42822815,0.53553382,93,0,33.40927547,42.2,1,97.05
29.75,87.51933033,0.319073229,99,0,33.4468315,65.4,1,97.025
30,87.91031947,0.56353292,98,0,33.99779076,71.3,1,97
30.25,70.90612545,0.48823327,85,1,34.3515863,62.3,1,96.975
30.5,94.02794311,0.454453294,92,0,32.68098547,67.8,1,96.95
30.75,65.98148937,0.524495709,91,0,32.60681227,70.4,1,96.925
31,85.86857094,0.547463349,94,2,33.1889826,59.4,1,96.9
31.25,101.9045563,0.570759182,92,1,33.79136879,40.3,1,96.875
31.5,70.09463675,0.617825285,99,2,33.7484368,63.9,1,96.85
31.75,74.3370227,0.540813591,98,2,34.03488573,42.8,1,96.825
32,80.99651365,0.362436591,90,1,32.90015124,61.5,1,96.8
32.25,74.96524346,0.452635454,88,0,32.34192807,76.8,1,96.775
32.5,64.49336569,0.794304834,93,0,33.9290071,63.3,1,96.75
32.75,80.68562975,0.572449106,100,0,33.08590186,46.8,1,96.725
33,69.37696286,0.73692873,90,0,32.49075607,36.4,1,96.7
33.25,84.73592431,0.639543408,93,1,33.57253187,38.7,1,96.675
33.5,70.80575766,0.524180207,98,1,33.89658784,58.9,1,96.65
33.75,95.49934405,0.530140707,94,6,33.43897143,60.3,1,96.625
34,72.16746708,0.496341996,88,0,33.27107581,40.8,1,96.6
34.25,76.77938484,0.326219538,89,1,33.42031888,40,1,96.575
34.5,88.13517217,0.501804725,85,0,33.31470862,71.2,1,96.55
34.75,67.69135684,0.621067455,89,0,32.82597644,43,1,96.525
35,82.27459935,0.440036001,91,2,33.14265966,37.2,1,96.5
35.25,93.07142754,0.5411953,96,5,33.76063995,36.4,1,96.475
35.5,63.92516765,0.585159105,92,0,33.66083927,79.6,1,96.45
35.75,81.84633859,0.409031956,91,3,33.5840299,34.7,1,96.425
36,82.59882794,0.454869714,99,0,33.00242576,75.6,1,96.4
36.25,87.81822872,0.398208851,85,1,33.40924842,63,1,96.375
36.5,67.63049289,0.417783439,94,0,32.41146748,73.1,1,96.35
36.75,66.79543387,0.371239472,96,0,33.58923833,38.4,1,96.325
37,85.21941566,0.409955154,86,0,34.21442885,75.4,1,96.3
37.25,82.96984673,0.641945568,100,1,32.76293393,44.8,1,96.275
37.5,82.5049285,0.408452297,96,0,33.20703616,45.2,1,96.25
37.75,83.46448209,0.512645922,88,1,33.66455339,74.1,1,96.225
38,73.19975278,0.449713125,99,0,34.12642132,64.8,1,96.2
38.25,82.32253697,0.617886594,93,0,33.27588769,51.7,1,96.175
38.5,82.93072473,0.63111623,94,0,33.15387484,49.2,1,96.15
38.75,72.85648582,0.586406998,100,0,32.51553843,60.9,1,96.125
39,98.65774511,0.530613455,91,0,33.55171906,38.7,1,96.1
39.25,84.73832921,0.476894046,91,1,34.52103802,50.6,1,96.075
39.5,68.08696503,0.38081253,89,0,33.63867923,67,1,96.05
39.75,86.56553609,0.694352888,100,1,33.48886051,43.6,1,96.025
40,70.2531833,0.424032698,91,2,33.66104116,30.8,1,96
40.25,87.87084604,0.566364635,97,1,33.494454,31.3,1,95.975
40.5,91.58595579,0.605956557,97,0,33.09349281,32.6,1,95.95
40.75,71.79317682,0.44447195,94,1,33.91163996,36.6,1,95.925
41,89.63376129,0.603801253,97,2,33.61288076,55.2,1,95.9
41.25,84.12780927,0.57642132,98,1,33.50880663,59.8,1,95.875
41.5,88.2206016,0.672796384,91,3,33.01231699,54.3,1,95.85
41.75,98.96792983,0.453065353,90,1,34.15175397,39,1,95.825
42,77.54611884,0.371413598,97,0,33.83235137,53.4,1,95.8
42.25,72.46263836,0.449451024,96,1,33.22353958,73.4,1,95.775
42.5,71.1048557,0.520885354,87,1,34.00091243,61.2,1,95.75
42.75,71.84189715,0.505821273,91,1,33.25121458,79.4,1,95.725
43,79.22898291,0.46065621,88,0,33.10899825,60.7,1,95.7
43.25,83.41151975,0.309080254,98,0,33.12014844,61.3,1,95.675
43.5,82.76690799,0.5470483,92,1,32.61446572,30.1,1,95.65
43.75,88.27183249,0.697234448,96,1,33.73577119,54.6,1,95.625
44,80.13001892,0.546425124,99,0,32.58442756,71.1,1,95.6
44.25,94.53534077,0.560913552,90,0,32.88577808,33.9,1,95.575
44.5,77.35343167,0.557244531,90,1,32.462206,73.5,1,95.55
44.75,107.2016917,0.539704667,94,1,33.45696515,50.3,1,95.525
45,86.25667348,0.593166597,87,2,33.42483977,61,1,95.5
45.25,71.42842444,0.539537368,88,1,33.33665189,60.1,1,95.475
45.5,69.29107502,0.468732283,93,0,32.97871115,40.3,1,95.45
45.75,84.82472415,0.420401109,85,0,32.91388312,56.5,1,95.425
46,77.76537215,0.475102634,10,0,33.73218493,66.2,1,95.4
46.25,87.14000494,0.53141295,97,1,33.22472403,44.9,1,95.375
46.5,84.73237625,0.468391704,89,0,33.65817916,75.3,1,95.35
46.75,79.27171087,0.531433868,86,0,33.05737566,72.2,1,95.325
47,71.53206282,0.543915013,97,0,33.59053137,49.5,1,95.3
47.25,64.85152775,0.583317943,96,0,34.15163902,61.6,1,95.275
47.5,75.53485048,0.628279497,100,1,33.7930829,73.2,1,95.25
47.75,88.56398794,0.507800742,91,1,33.29379309,33.8,1,95.225
48,82.14093744,0.369222343,86,2,33.62859949,38.8,1,95.2
48.25,67.54261221,0.46548959,95,2,33.37966741,65.4,1,95.175
48.5,81.73180926,0.504406257,92,2,33.50394009,33.9,1,95.15
48.75,83.8531738,0.316423124,87,2,33.33719447,54,1,95.125
49,71.16142564,0.638866452,96,3,33.4178324,49.6,1,95.1
49.25,81.53725106,0.514237791,98,1,33.60604668,65.3,1,95.075
49.5,80.58208718,0.538135283,99,1,33.00332065,37.7,1,95.05
49.75,68.57029702,0.636552646,85,0,32.99206059,50.7,1,95.025
50,83.5778736,0.436985717,97,1,32.80572872,45.1,1,95
50.25,85.60784526,0.557404193,86,2,32.69986445,52.3,1,94.975
50.5,90.83051243,0.489013588,87,0,32.89135865,30.7,1,94.95
50.75,90.53802052,0.481591313,85,1,33.57973125,36.4,1,94.925
51,66.22330632,0.422780761,98,2,33.05360624,71.4,1,94.9
51.25,70.6217496,0.666560321,94,0,33.75680723,54.4,1,94.875
51.5,85.15035267,0.462449996,86,1,33.51735687,37.2,1,94.85
51.75,85.13785951,0.569946425,92,0,32.51574789,33.5,1,94.825
52,85.15047686,0.312499261,89,0,33.82748779,66.4,1,94.8
52.25,118.5273149,0.617998853,94,2,33.90539932,33.6,1,94.775
52.5,85.70890511,0.605221116,96,2,33.00306866,64.6,1,94.75
52.75,91.3556564,0.509743411,96,3,33.71009577,51.2,1,94.725
53,89.54001763,0.477305753,89,3,33.07175088,72.2,1,94.7
53.25,86.51391251,0.540000001,93,0,33.54883519,44.8,1,94.675
